Household.Num,Income,FamilySize,NumAdults,RandData,IncomeBin,FSBin,AdultBin
118141,62500,5,2,1,50-75,4-5,2
123141,87500,6,4,1,75-100,>=6,3-4
123545,62500,4,3,1,50-75,4-5,3-4
123646,87500,2,2,1,75-100,2,2
124545,35000,1,1,1,25-50,1,1
125242,112500,2,2,1,100-150,2,2
134343,62500,1,1,1,50-75,1,1
141545,150000,3,3,1,>150,3,3-4
144848,112500,3,1,1,100-150,3,1
155444,150000,5,3,1,>150,4-5,3-4
156747,45000,2,2,1,25-50,2,2
163141,62500,5,5,1,50-75,4-5,5-6
167545,150000,2,2,1,>150,2,2
167848,62500,3,2,1,50-75,3,2
171242,150000,5,4,1,>150,4-5,3-4
174444,150000,4,4,1,>150,4-5,3-4
175848,35000,2,2,1,25-50,2,2
177439,112500,3,2,0,100-150,3,2
177747,150000,3,3,1,>150,3,3-4
178747,112500,2,2,1,100-150,2,2
179444,112500,3,3,1,100-150,3,3-4
180242,62500,4,3,1,50-75,4-5,3-4
180444,62500,2,2,1,50-75,2,2
181747,62500,1,1,1,50-75,1,1
183545,35000,2,1,1,25-50,2,1
188646,17500,4,2,1,<25,4-5,2
189848,45000,1,1,1,25-50,1,1
190545,150000,5,4,1,>150,4-5,3-4
193646,150000,4,4,1,>150,4-5,3-4
195848,62500,5,3,1,50-75,4-5,3-4
197747,62500,1,1,1,50-75,1,1
199444,62500,4,3,1,50-75,4-5,3-4
199646,25000,2,2,1,25-50,2,2
200489,112500,4,3,0,100-150,4-5,3-4
200545,87500,4,4,1,75-100,4-5,3-4
200771,87500,3,3,0,75-100,3,3-4
201646,150000,3,2,1,>150,3,2
207141,150000,3,3,1,>150,3,3-4
207747,150000,4,4,1,>150,4-5,3-4
209566,150000,3,3,0,>150,3,3-4
209646,62500,5,4,1,50-75,4-5,3-4
213444,45000,2,2,1,25-50,2,2
213646,87500,1,1,1,75-100,1,1
217848,87500,2,2,1,75-100,2,2
218646,150000,1,1,1,>150,1,1
218747,150000,1,1,1,>150,1,1
220242,150000,2,2,1,>150,2,2
224848,150000,2,2,1,>150,2,2
227646,150000,2,2,1,>150,2,2
231848,87500,3,2,1,75-100,3,2
234025,112500,5,4,0,100-150,4-5,3-4
236018,150000,3,2,0,>150,3,2
239747,62500,3,2,1,50-75,3,2
241747,112500,2,2,1,100-150,2,2
247141,150000,4,3,1,>150,4-5,3-4
249848,62500,3,3,1,50-75,3,3-4
255747,87500,2,1,1,75-100,2,1
260444,87500,3,3,1,75-100,3,3-4
263141,87500,7,6,1,75-100,>=6,5-6
269747,62500,5,3,1,50-75,4-5,3-4
272141,45000,8,6,1,25-50,>=6,5-6
278492,150000,4,4,0,>150,4-5,3-4
280444,62500,2,2,1,50-75,2,2
282545,62500,1,1,1,50-75,1,1
282747,62500,1,1,1,50-75,1,1
284343,45000,1,1,1,25-50,1,1
284450,35000,1,1,0,25-50,1,1
287747,62500,3,3,1,50-75,3,3-4
289242,87500,2,2,1,75-100,2,2
292141,62500,6,5,1,50-75,>=6,5-6
292848,150000,3,2,1,>150,3,2
299545,45000,4,3,1,25-50,4-5,3-4
300242,87500,3,3,1,75-100,3,3-4
300444,150000,3,3,1,>150,3,3-4
300646,112500,3,3,1,100-150,3,3-4
303646,112500,4,4,1,100-150,4-5,3-4
306227,35000,1,1,0,25-50,1,1
307545,150000,4,4,1,>150,4-5,3-4
307987,150000,6,2,0,>150,>=6,2
310646,25000,3,3,1,25-50,3,3-4
311141,150000,4,3,1,>150,4-5,3-4
311545,25000,6,6,1,25-50,>=6,5-6
314242,62500,1,1,1,50-75,1,1
315242,62500,3,3,1,50-75,3,3-4
319036,112500,4,2,0,100-150,4-5,2
319343,150000,4,4,1,>150,4-5,3-4
319444,62500,4,4,1,50-75,4-5,3-4
319545,150000,6,5,1,>150,>=6,5-6
319646,45000,5,5,1,25-50,4-5,5-6
320141,150000,3,2,1,>150,3,2
321242,150000,3,2,1,>150,3,2
322627,10000,2,1,0,<25,2,1
322848,45000,1,1,1,25-50,1,1
323444,87500,2,2,1,75-100,2,2
326444,150000,6,5,1,>150,>=6,5-6
336848,150000,3,3,1,>150,3,3-4
337545,35000,2,1,1,25-50,2,1
338343,112500,3,2,1,100-150,3,2
338848,150000,4,4,1,>150,4-5,3-4
340444,87500,3,3,1,75-100,3,3-4
346141,112500,1,1,1,100-150,1,1
350274,62500,4,4,0,50-75,4-5,3-4
351861,45000,1,1,0,25-50,1,1
352545,45000,2,1,1,25-50,2,1
353343,150000,5,5,1,>150,4-5,5-6
354141,150000,4,3,1,>150,4-5,3-4
355969,112500,4,4,0,100-150,4-5,3-4
356242,112500,8,4,1,100-150,>=6,3-4
356545,62500,6,4,1,50-75,>=6,3-4
357343,112500,3,3,1,100-150,3,3-4
357545,35000,3,3,1,25-50,3,3-4
357828,150000,4,4,0,>150,4-5,3-4
358848,150000,3,2,1,>150,3,2
359747,35000,2,2,1,25-50,2,2
360646,112500,5,4,1,100-150,4-5,3-4
361546,87500,8,6,0,75-100,>=6,5-6
364444,62500,5,3,1,50-75,4-5,3-4
365545,62500,3,3,1,50-75,3,3-4
366141,62500,1,1,1,50-75,1,1
368199,45000,4,3,0,25-50,4-5,3-4
369208,62500,2,2,0,50-75,2,2
373242,112500,3,2,1,100-150,3,2
373343,25000,2,2,1,25-50,2,2
374747,62500,3,2,1,50-75,3,2
375141,87500,2,2,1,75-100,2,2
380242,150000,2,2,1,>150,2,2
380444,112500,1,1,1,100-150,1,1
382893,112500,2,2,0,100-150,2,2
383860,112500,4,4,0,100-150,4-5,3-4
385242,112500,2,2,1,100-150,2,2
386242,62500,3,2,1,50-75,3,2
387343,45000,1,1,1,25-50,1,1
388121,45000,5,5,0,25-50,4-5,5-6
388545,62500,2,1,1,50-75,2,1
390444,87500,4,2,1,75-100,4-5,2
391141,25000,1,1,1,25-50,1,1
393747,45000,2,2,1,25-50,2,2
394343,62500,3,3,1,50-75,3,3-4
395212,112500,4,4,0,100-150,4-5,3-4
397646,87500,4,3,1,75-100,4-5,3-4
398103,45000,3,2,0,25-50,3,2
398242,87500,4,4,1,75-100,4-5,3-4
398646,62500,8,6,1,50-75,>=6,5-6
400202,112500,3,2,0,100-150,3,2
400363,150000,4,2,0,>150,4-5,2
401444,87500,6,2,1,75-100,>=6,2
401545,62500,1,1,1,50-75,1,1
402343,150000,6,4,1,>150,>=6,3-4
405242,150000,3,3,1,>150,3,3-4
405450,87500,4,4,0,75-100,4-5,3-4
409646,87500,2,1,1,75-100,2,1
410232,112500,4,4,0,100-150,4-5,3-4
410545,62500,2,1,1,50-75,2,1
412242,87500,3,2,1,75-100,3,2
414343,150000,6,5,1,>150,>=6,5-6
418444,150000,2,2,1,>150,2,2
418646,150000,3,2,1,>150,3,2
424343,62500,6,5,1,50-75,>=6,5-6
427141,150000,3,2,1,>150,3,2
428545,87500,2,2,1,75-100,2,2
431848,150000,6,3,1,>150,>=6,3-4
437545,112500,3,2,1,100-150,3,2
439141,17500,3,2,1,<25,3,2
439646,25000,4,4,1,25-50,4-5,3-4
444343,150000,5,3,1,>150,4-5,3-4
444747,62500,6,4,1,50-75,>=6,3-4
448343,150000,2,2,1,>150,2,2
449545,87500,4,3,1,75-100,4-5,3-4
450444,87500,3,2,1,75-100,3,2
451141,112500,5,5,1,100-150,4-5,5-6
451747,87500,1,1,1,75-100,1,1
453747,112500,2,2,1,100-150,2,2
457747,87500,1,1,1,75-100,1,1
458059,112500,2,2,0,100-150,2,2
458646,112500,3,2,1,100-150,3,2
462242,25000,1,1,1,25-50,1,1
463747,25000,3,1,1,25-50,3,1
463848,62500,5,4,1,50-75,4-5,3-4
464343,150000,3,2,1,>150,3,2
467242,62500,4,4,1,50-75,4-5,3-4
467545,62500,7,5,1,50-75,>=6,5-6
468343,87500,3,2,1,75-100,3,2
469343,150000,5,5,1,>150,4-5,5-6
473646,150000,3,3,1,>150,3,3-4
476242,150000,3,2,1,>150,3,2
479242,62500,4,4,1,50-75,4-5,3-4
480545,150000,3,2,1,>150,3,2
482848,45000,2,2,1,25-50,2,2
486444,150000,4,3,1,>150,4-5,3-4
491141,62500,1,1,1,50-75,1,1
494747,62500,4,2,1,50-75,4-5,2
495242,112500,4,3,1,100-150,4-5,3-4
496646,87500,3,3,1,75-100,3,3-4
499141,17500,4,4,1,<25,4-5,3-4
502545,45000,3,3,1,25-50,3,3-4
504545,87500,2,2,1,75-100,2,2
509444,150000,2,2,1,>150,2,2
509646,35000,1,1,1,25-50,1,1
510545,62500,3,3,1,50-75,3,3-4
511545,62500,2,1,1,50-75,2,1
512444,87500,1,1,1,75-100,1,1
512459,62500,5,5,0,50-75,4-5,5-6
512545,87500,3,3,1,75-100,3,3-4
519444,62500,1,1,1,50-75,1,1
522444,62500,2,2,1,50-75,2,2
523242,150000,4,4,1,>150,4-5,3-4
524747,10000,2,1,1,<25,2,1
525242,25000,6,3,1,25-50,>=6,3-4
525545,62500,5,4,1,50-75,4-5,3-4
526141,112500,2,2,1,100-150,2,2
527747,87500,1,1,1,75-100,1,1
529343,45000,4,4,1,25-50,4-5,3-4
530444,62500,3,3,1,50-75,3,3-4
530646,150000,2,2,1,>150,2,2
532141,150000,6,5,1,>150,>=6,5-6
533903,62500,2,2,0,50-75,2,2
534545,150000,4,2,1,>150,4-5,2
535646,62500,2,2,1,50-75,2,2
545343,62500,1,1,1,50-75,1,1
548747,150000,5,3,1,>150,4-5,3-4
549242,112500,2,2,1,100-150,2,2
549747,150000,4,4,1,>150,4-5,3-4
550141,62500,3,2,1,50-75,3,2
551242,112500,5,4,1,100-150,4-5,3-4
551343,87500,1,1,1,75-100,1,1
552141,62500,2,2,1,50-75,2,2
552646,87500,2,2,1,75-100,2,2
552747,62500,3,2,1,50-75,3,2
553444,150000,3,2,1,>150,3,2
555747,87500,6,2,1,75-100,>=6,2
557545,150000,3,3,1,>150,3,3-4
558444,62500,4,3,1,50-75,4-5,3-4
558747,62500,2,2,1,50-75,2,2
558848,62500,2,2,1,50-75,2,2
559747,10000,6,6,1,<25,>=6,5-6
560343,45000,1,1,1,25-50,1,1
561444,62500,5,5,1,50-75,4-5,5-6
563747,25000,3,3,1,25-50,3,3-4
564343,87500,3,3,1,75-100,3,3-4
568444,62500,6,5,1,50-75,>=6,5-6
568747,112500,6,6,1,100-150,>=6,5-6
569747,62500,3,3,1,50-75,3,3-4
571444,62500,4,4,1,50-75,4-5,3-4
573242,10000,1,1,1,<25,1,1
573646,150000,3,3,1,>150,3,3-4
575444,150000,4,2,1,>150,4-5,2
576242,112500,6,2,1,100-150,>=6,2
576444,87500,3,3,1,75-100,3,3-4
576848,62500,1,1,1,50-75,1,1
577545,112500,4,2,1,100-150,4-5,2
579545,87500,2,2,1,75-100,2,2
580233,112500,2,2,0,100-150,2,2
582545,150000,2,2,1,>150,2,2
584747,112500,2,2,1,100-150,2,2
585874,25000,1,1,0,25-50,1,1
586545,62500,2,2,1,50-75,2,2
587242,87500,2,2,1,75-100,2,2
587343,62500,3,3,1,50-75,3,3-4
589242,112500,2,2,1,100-150,2,2
591848,45000,6,6,1,25-50,>=6,5-6
592141,87500,2,1,1,75-100,2,1
596242,150000,4,3,1,>150,4-5,3-4
596646,35000,3,3,1,25-50,3,3-4
598646,87500,2,2,1,75-100,2,2
604545,87500,4,2,1,75-100,4-5,2
605622,62500,1,1,0,50-75,1,1
605911,62500,3,2,0,50-75,3,2
606141,62500,2,2,1,50-75,2,2
606343,150000,2,2,1,>150,2,2
609747,45000,4,4,1,25-50,4-5,3-4
610444,112500,7,4,1,100-150,>=6,3-4
613141,112500,3,2,1,100-150,3,2
613545,87500,2,2,1,75-100,2,2
615141,112500,4,2,1,100-150,4-5,2
616545,62500,1,1,1,50-75,1,1
617444,35000,2,1,1,25-50,2,1
622747,35000,5,3,1,25-50,4-5,3-4
622848,62500,2,2,1,50-75,2,2
624343,150000,4,3,1,>150,4-5,3-4
625848,87500,4,4,1,75-100,4-5,3-4
626848,150000,3,3,1,>150,3,3-4
628545,17500,5,5,1,<25,4-5,5-6
642444,62500,6,5,1,50-75,>=6,5-6
643646,150000,4,4,1,>150,4-5,3-4
645343,45000,2,1,1,25-50,2,1
647848,35000,3,3,1,25-50,3,3-4
649747,87500,4,4,0,75-100,4-5,3-4
650545,87500,2,2,1,75-100,2,2
653545,25000,1,1,1,25-50,1,1
656242,150000,3,2,1,>150,3,2
658343,87500,5,4,1,75-100,4-5,3-4
662141,150000,3,2,1,>150,3,2
665444,62500,3,2,1,50-75,3,2
670343,150000,5,4,1,>150,4-5,3-4
671747,112500,4,4,1,100-150,4-5,3-4
672242,25000,1,1,1,25-50,1,1
673242,87500,4,4,1,75-100,4-5,3-4
676343,87500,2,2,1,75-100,2,2
676545,62500,7,5,1,50-75,>=6,5-6
677343,87500,6,6,1,75-100,>=6,5-6
680545,112500,5,4,1,100-150,4-5,3-4
681343,87500,5,4,1,75-100,4-5,3-4
684444,150000,4,4,1,>150,4-5,3-4
684747,150000,1,1,1,>150,1,1
685343,87500,3,3,1,75-100,3,3-4
687242,87500,3,2,1,75-100,3,2
690545,62500,3,3,1,50-75,3,3-4
690747,150000,5,5,1,>150,4-5,5-6
691141,150000,8,5,1,>150,>=6,5-6
691848,62500,2,2,1,50-75,2,2
692444,87500,4,2,1,75-100,4-5,2
698242,150000,4,3,1,>150,4-5,3-4
699444,62500,1,1,1,50-75,1,1
699848,62500,2,2,1,50-75,2,2
700343,62500,4,4,1,50-75,4-5,3-4
700747,87500,5,2,1,75-100,4-5,2
702242,25000,1,1,1,25-50,1,1
706646,87500,6,5,1,75-100,>=6,5-6
708242,62500,3,3,1,50-75,3,3-4
709444,62500,6,4,1,50-75,>=6,3-4
709993,150000,2,2,0,>150,2,2
711848,150000,5,4,1,>150,4-5,3-4
715444,62500,6,5,1,50-75,>=6,5-6
716141,62500,5,2,1,50-75,4-5,2
717646,35000,1,1,1,25-50,1,1
720242,87500,3,2,1,75-100,3,2
723747,62500,1,1,1,50-75,1,1
724876,150000,4,2,0,>150,4-5,2
726466,150000,4,3,0,>150,4-5,3-4
730545,62500,3,3,1,50-75,3,3-4
732545,45000,5,5,1,25-50,4-5,5-6
737141,150000,4,3,1,>150,4-5,3-4
740646,62500,3,3,1,50-75,3,3-4
741848,150000,7,5,1,>150,>=6,5-6
742343,87500,9,6,1,75-100,>=6,5-6
746321,62500,7,6,0,50-75,>=6,5-6
746343,45000,5,3,1,25-50,4-5,3-4
746346,150000,3,2,0,>150,3,2
746646,150000,6,4,1,>150,>=6,3-4
747249,150000,4,3,0,>150,4-5,3-4
748141,150000,3,2,1,>150,3,2
748848,62500,2,2,1,50-75,2,2
750522,35000,1,1,0,25-50,1,1
751444,150000,2,2,1,>150,2,2
751646,62500,3,2,1,50-75,3,2
752291,112500,2,2,0,100-150,2,2
753646,150000,3,3,1,>150,3,3-4
757242,112500,3,3,1,100-150,3,3-4
758444,150000,4,3,1,>150,4-5,3-4
760940,150000,5,4,0,>150,4-5,3-4
764205,150000,3,2,0,>150,3,2
764213,150000,5,4,0,>150,4-5,3-4
768343,87500,5,5,1,75-100,4-5,5-6
768545,62500,2,2,1,50-75,2,2
772444,150000,7,5,1,>150,>=6,5-6
774444,150000,6,5,1,>150,>=6,5-6
775242,62500,1,1,1,50-75,1,1
776545,150000,3,3,1,>150,3,3-4
777444,62500,2,2,1,50-75,2,2
777763,150000,3,3,0,>150,3,3-4
778646,87500,1,1,1,75-100,1,1
780272,112500,3,3,0,100-150,3,3-4
780579,150000,4,3,0,>150,4-5,3-4
781309,87500,6,6,0,75-100,>=6,5-6
784343,150000,2,2,1,>150,2,2
784444,150000,6,3,1,>150,>=6,3-4
785545,150000,4,3,1,>150,4-5,3-4
787646,150000,4,4,1,>150,4-5,3-4
788141,62500,3,2,1,50-75,3,2
788275,112500,3,3,0,100-150,3,3-4
789545,35000,5,5,1,25-50,4-5,5-6
791444,87500,2,2,1,75-100,2,2
792545,62500,1,1,1,50-75,1,1
793848,150000,3,2,1,>150,3,2
794545,87500,3,2,1,75-100,3,2
795242,112500,5,3,1,100-150,4-5,3-4
796242,150000,5,3,1,>150,4-5,3-4
796444,87500,2,2,1,75-100,2,2
797343,10000,1,1,1,<25,1,1
800848,150000,4,3,1,>150,4-5,3-4
802444,150000,3,3,1,>150,3,3-4
805672,112500,3,3,0,100-150,3,3-4
811343,87500,7,6,1,75-100,>=6,5-6
813646,62500,4,3,1,50-75,4-5,3-4
814545,87500,6,5,1,75-100,>=6,5-6
821872,150000,4,4,0,>150,4-5,3-4
824848,25000,2,2,1,25-50,2,2
829141,112500,5,4,1,100-150,4-5,3-4
829545,112500,3,3,1,100-150,3,3-4
835444,87500,3,3,1,75-100,3,3-4
835646,25000,4,2,1,25-50,4-5,2
835848,150000,4,4,1,>150,4-5,3-4
836545,112500,5,2,1,100-150,4-5,2
837444,112500,2,2,1,100-150,2,2
842141,150000,2,2,1,>150,2,2
842545,25000,5,5,1,25-50,4-5,5-6
843141,35000,2,2,1,25-50,2,2
846577,150000,2,2,0,>150,2,2
847545,45000,1,1,1,25-50,1,1
849141,35000,3,3,1,25-50,3,3-4
849270,45000,2,2,0,25-50,2,2
855444,62500,5,4,1,50-75,4-5,3-4
855646,150000,6,3,1,>150,>=6,3-4
857141,45000,2,2,1,25-50,2,2
857545,87500,1,1,1,75-100,1,1
857747,150000,1,1,1,>150,1,1
858545,62500,3,2,1,50-75,3,2
859444,150000,2,2,1,>150,2,2
861164,112500,2,2,0,100-150,2,2
866242,150000,7,4,1,>150,>=6,3-4
867242,62500,3,3,1,50-75,3,3-4
878343,150000,4,2,1,>150,4-5,2
881683,45000,2,2,0,25-50,2,2
882848,25000,3,2,1,25-50,3,2
889242,150000,5,5,1,>150,4-5,5-6
889848,25000,2,1,1,25-50,2,1
890141,62500,2,2,1,50-75,2,2
890545,87500,5,4,1,75-100,4-5,3-4
896747,150000,4,4,1,>150,4-5,3-4
897444,87500,3,3,1,75-100,3,3-4
899141,87500,4,4,1,75-100,4-5,3-4
900747,87500,2,2,1,75-100,2,2
902747,62500,5,4,1,50-75,4-5,3-4
902848,112500,3,3,1,100-150,3,3-4
903848,112500,5,4,1,100-150,4-5,3-4
905343,10000,2,1,1,<25,2,1
909444,87500,3,3,1,75-100,3,3-4
914444,62500,6,6,1,50-75,>=6,5-6
915444,62500,3,2,1,50-75,3,2
918141,87500,4,4,1,75-100,4-5,3-4
921646,150000,6,4,1,>150,>=6,3-4
923343,45000,2,2,1,25-50,2,2
925545,87500,5,3,1,75-100,4-5,3-4
926444,45000,1,1,1,25-50,1,1
928848,112500,2,2,1,100-150,2,2
930343,112500,2,2,1,100-150,2,2
932848,87500,4,2,1,75-100,4-5,2
934545,62500,4,3,1,50-75,4-5,3-4
936646,150000,2,2,1,>150,2,2
937747,112500,2,2,1,100-150,2,2
938646,112500,1,1,1,100-150,1,1
938708,62500,2,1,0,50-75,2,1
939444,62500,2,1,1,50-75,2,1
942545,87500,2,2,1,75-100,2,2
946545,87500,2,2,1,75-100,2,2
946747,87500,3,3,1,75-100,3,3-4
950141,112500,7,5,1,100-150,>=6,5-6
952444,150000,2,2,1,>150,2,2
955242,150000,3,3,1,>150,3,3-4
957747,10000,1,1,1,<25,1,1
959444,87500,5,4,1,75-100,4-5,3-4
959545,62500,2,2,1,50-75,2,2
960141,87500,5,5,1,75-100,4-5,5-6
961242,62500,1,1,1,50-75,1,1
966242,62500,2,2,1,50-75,2,2
967545,87500,3,2,1,75-100,3,2
967646,62500,5,4,1,50-75,4-5,3-4
968175,112500,3,2,0,100-150,3,2
968242,62500,1,1,1,50-75,1,1
970646,112500,4,3,1,100-150,4-5,3-4
971848,62500,2,2,1,50-75,2,2
973343,35000,6,6,1,25-50,>=6,5-6
973848,112500,1,1,1,100-150,1,1
974141,62500,2,2,1,50-75,2,2
974242,62500,2,1,1,50-75,2,1
977646,112500,3,2,1,100-150,3,2
978545,62500,2,2,1,50-75,2,2
980242,35000,2,2,1,25-50,2,2
980343,150000,4,4,1,>150,4-5,3-4
981242,87500,5,5,1,75-100,4-5,5-6
982141,62500,2,1,1,50-75,2,1
983848,112500,5,5,1,100-150,4-5,5-6
985444,62500,5,2,1,50-75,4-5,2
985747,45000,3,3,1,25-50,3,3-4
988242,150000,6,2,1,>150,>=6,2
988444,112500,3,2,1,100-150,3,2
990343,87500,3,2,1,75-100,3,2
992142,87500,2,2,0,75-100,2,2
992444,45000,1,1,1,25-50,1,1
995343,112500,5,5,1,100-150,4-5,5-6
995747,62500,2,2,1,50-75,2,2
996646,150000,5,2,1,>150,4-5,2
996747,62500,2,2,1,50-75,2,2
997747,45000,2,1,1,25-50,2,1
999444,150000,4,4,1,>150,4-5,3-4
1000848,150000,2,2,1,>150,2,2
1000851,62500,2,2,0,50-75,2,2
1002545,150000,5,4,1,>150,4-5,3-4
1004444,35000,1,1,1,25-50,1,1
1007444,62500,1,1,1,50-75,1,1
1011343,87500,3,2,1,75-100,3,2
1011444,112500,2,2,1,100-150,2,2
1013141,150000,6,3,1,>150,>=6,3-4
1014848,62500,3,2,1,50-75,3,2
1017545,112500,3,2,1,100-150,3,2
1018444,112500,3,3,1,100-150,3,3-4
1018848,150000,5,2,1,>150,4-5,2
1028848,35000,6,2,1,25-50,>=6,2
1032646,150000,4,3,1,>150,4-5,3-4
1038242,150000,7,4,1,>150,>=6,3-4
1038343,87500,2,2,1,75-100,2,2
1038709,35000,2,1,0,25-50,2,1
1038796,87500,5,2,0,75-100,4-5,2
1042016,150000,2,2,0,>150,2,2
1042646,25000,1,1,1,25-50,1,1
1045444,25000,2,2,1,25-50,2,2
1050343,45000,1,1,1,25-50,1,1
1055848,62500,3,2,1,50-75,3,2
1056848,62500,4,2,1,50-75,4-5,2
1057444,87500,1,1,1,75-100,1,1
1058848,150000,5,2,1,>150,4-5,2
1059747,150000,4,4,1,>150,4-5,3-4
1064747,35000,1,1,1,25-50,1,1
1067848,25000,1,1,1,25-50,1,1
1072848,62500,5,4,1,50-75,4-5,3-4
1073545,112500,4,2,1,100-150,4-5,2
1074646,150000,4,3,1,>150,4-5,3-4
1075444,10000,4,4,1,<25,4-5,3-4
1077848,62500,1,1,1,50-75,1,1
1080444,112500,4,4,1,100-150,4-5,3-4
1084848,62500,5,3,1,50-75,4-5,3-4
1089242,62500,1,1,1,50-75,1,1
1091444,62500,4,3,1,50-75,4-5,3-4
1094646,62500,3,2,1,50-75,3,2
1099249,150000,4,3,0,>150,4-5,3-4
1100444,87500,3,2,1,75-100,3,2
1102141,35000,3,2,1,25-50,3,2
1102747,87500,2,2,1,75-100,2,2
1111242,25000,4,4,1,25-50,4-5,3-4
1112848,87500,4,2,1,75-100,4-5,2
1114141,150000,3,3,1,>150,3,3-4
1114242,17500,1,1,1,<25,1,1
1117242,45000,1,1,1,25-50,1,1
1123545,112500,3,2,1,100-150,3,2
1125141,62500,3,2,1,50-75,3,2
1128242,62500,1,1,1,50-75,1,1
1130747,87500,2,2,1,75-100,2,2
1132343,112500,2,2,1,100-150,2,2
1139141,62500,1,1,1,50-75,1,1
1139444,87500,2,2,1,75-100,2,2
1139747,45000,1,1,1,25-50,1,1
1142242,150000,3,3,1,>150,3,3-4
1144646,112500,4,3,1,100-150,4-5,3-4
1145141,25000,4,4,1,25-50,4-5,3-4
1146646,112500,6,6,1,100-150,>=6,5-6
1147141,150000,4,2,1,>150,4-5,2
1148141,62500,4,3,1,50-75,4-5,3-4
1150141,112500,1,1,1,100-150,1,1
1151242,87500,4,2,1,75-100,4-5,2
1153580,150000,4,4,0,>150,4-5,3-4
1157141,87500,5,4,1,75-100,4-5,3-4
1162444,150000,2,2,1,>150,2,2
1164747,62500,5,4,1,50-75,4-5,3-4
1165848,112500,3,2,1,100-150,3,2
1167545,87500,3,2,1,75-100,3,2
1167962,112500,3,2,0,100-150,3,2
1172242,62500,2,2,1,50-75,2,2
1173444,87500,2,2,1,75-100,2,2
1177646,17500,6,6,1,<25,>=6,5-6
1181141,150000,4,4,1,>150,4-5,3-4
1183545,150000,6,4,1,>150,>=6,3-4
1186242,87500,4,3,1,75-100,4-5,3-4
1186343,87500,4,4,1,75-100,4-5,3-4
1186545,112500,6,6,1,100-150,>=6,5-6
1192242,62500,1,1,1,50-75,1,1
1200242,45000,2,2,1,25-50,2,2
1200343,150000,6,5,1,>150,>=6,5-6
1203785,150000,3,3,0,>150,3,3-4
1205646,62500,1,1,1,50-75,1,1
1207848,62500,3,2,1,50-75,3,2
1209099,150000,6,3,0,>150,>=6,3-4
1210747,150000,4,4,1,>150,4-5,3-4
1212848,112500,5,3,1,100-150,4-5,3-4
1213242,35000,4,3,1,25-50,4-5,3-4
1213747,35000,5,4,1,25-50,4-5,3-4
1218444,150000,2,2,1,>150,2,2
1224545,62500,1,1,1,50-75,1,1
1225242,112500,6,6,1,100-150,>=6,5-6
1225646,87500,5,5,1,75-100,4-5,5-6
1230444,62500,3,2,1,50-75,3,2
1231343,62500,2,2,1,50-75,2,2
1231545,62500,3,3,1,50-75,3,3-4
1231747,62500,1,1,1,50-75,1,1
1231848,112500,4,4,1,100-150,4-5,3-4
1232141,87500,6,2,1,75-100,>=6,2
1233343,87500,4,3,1,75-100,4-5,3-4
1235242,62500,3,3,1,50-75,3,3-4
1236141,150000,2,2,1,>150,2,2
1237444,112500,1,1,1,100-150,1,1
1238141,150000,2,2,1,>150,2,2
1238242,112500,4,3,1,100-150,4-5,3-4
1238860,45000,2,2,0,25-50,2,2
1238946,87500,3,3,0,75-100,3,3-4
1239462,62500,1,1,0,50-75,1,1
1243545,87500,1,1,1,75-100,1,1
1246646,200001,3,3,1,>150,3,3-4
1247545,17500,3,2,1,<25,3,2
1250242,87500,4,4,1,75-100,4-5,3-4
1250848,45000,3,2,1,25-50,3,2
1251141,87500,4,4,1,75-100,4-5,3-4
1251545,62500,1,1,1,50-75,1,1
1258242,112500,2,2,1,100-150,2,2
1259242,35000,2,2,1,25-50,2,2
1260848,62500,1,1,1,50-75,1,1
1263141,112500,6,4,1,100-150,>=6,3-4
1263646,62500,4,3,1,50-75,4-5,3-4
1269646,62500,7,5,1,50-75,>=6,5-6
1270343,45000,2,2,1,25-50,2,2
1274444,112500,6,3,1,100-150,>=6,3-4
1274848,200001,3,2,1,>150,3,2
1281141,62500,4,3,1,50-75,4-5,3-4
1283545,150000,6,4,1,>150,>=6,3-4
1284545,150000,4,4,1,>150,4-5,3-4
1285242,62500,3,3,1,50-75,3,3-4
1286242,112500,3,3,1,100-150,3,3-4
1286670,87500,2,2,0,75-100,2,2
1287343,62500,4,2,1,50-75,4-5,2
1288343,87500,4,3,1,75-100,4-5,3-4
1300242,62500,1,1,1,50-75,1,1
1301141,35000,3,3,1,25-50,3,3-4
1304747,150000,2,2,1,>150,2,2
1307242,150000,3,2,1,>150,3,2
1307290,150000,3,2,0,>150,3,2
1308242,150000,6,4,1,>150,>=6,3-4
1309646,45000,4,4,1,25-50,4-5,3-4
1310545,150000,4,4,1,>150,4-5,3-4
1312141,45000,1,1,1,25-50,1,1
1313747,150000,3,3,1,>150,3,3-4
1314242,17500,3,2,1,<25,3,2
1315646,150000,2,2,1,>150,2,2
1318343,62500,2,2,1,50-75,2,2
1319444,112500,2,1,1,100-150,2,1
1320141,35000,2,2,1,25-50,2,2
1321242,112500,5,5,1,100-150,4-5,5-6
1321343,45000,1,1,1,25-50,1,1
1321747,87500,3,2,1,75-100,3,2
1323343,112500,1,1,1,100-150,1,1
1324242,45000,1,1,1,25-50,1,1
1324474,45000,4,4,0,25-50,4-5,3-4
1325141,62500,1,1,1,50-75,1,1
1325302,87500,5,4,0,75-100,4-5,3-4
1325545,150000,6,5,1,>150,>=6,5-6
1325747,150000,3,3,1,>150,3,3-4
